Случайные Галлюцинации
Брось 1к100
01-02	Над вашей головой разверзлась голубая пустота. Вокруг вас кружат стаи радужных птиц.
03-04	Вы в одиночку съели все сладкое из кладовой и теперь за это вас отчитывает родительская фигура.
05-06	Крошечный человечек, размером с ваш палец, танцует веселый танец на поверхности вашей ладони.
07-08	Сотни маленьких насекомых ползают по вашей коже.
09-10	Стены и потолок начинают сдвигаться.
11-12	Вам кажется что вы начинаете таять, сверху вниз, образовывая лужу бурлящей жидкости под вашими ногами.
13-14	Ваше оружие превратилось в змею и начинают медленно сдавливать и душить вас.
15-16	У вас складывается впечатление что вы можете пускать лучи магической энергии из ваших глаз.
17-18	Внезапно все становятся намного выше вас.
19-20	Осуждающий шепот окружает вас со всех сторон.
21-22	Вы слышите прекрасную, яркую музыку, побуждающие вас на дикий танец и пляску.
23-24	Невероятная философская мысль, — прозрение о смысле жизни, пронзает ваше сознание. Но как бы вы не старались сформировать или описать ее получается полная белиберда.
25-26	Все вокруг выглядят и звучат точно так же как и вы.
27-28	Вас охватывает волна ужаса. Ваши ногти, зубы и волос внезапно готовы выпасть в любой момент.
29-30	Вы верите, что стали могущественным Божеством и ожидаете, что другие должны поклонятся вам
31-32	Ваша одежда начинает излучать волны жара, а кожа начинает зудеть. Вы должны немедленно снять ее.
33-34	Вы испытываете глубокую, необъяснимую привязанность к члену партии или персонажу, с которым вы обычно не ладите.
35-36	Сила тяжести перестала работать на вас, если вы не закрепитесь, вы уплывете прочь.
37-38	Вы преодолены стремлением исполнять импровизированную поэзию для окружающих.
39-40	Вы испытываете полную эго-смерть и принимаете позу эмбриона.
41-42	Из глубин вашего желудка вы выблевываете наружу сотни золотых монет, которые немедленно вплавляются в пол.
43-44	Все в пределах 60 фт. от вас погружается в полную непроглядную тьму. И что-то движется внутри нее.
45-46	Ваши глаза начинают натурально выкипать из глазниц, будто бы из заполнили кислотой. Зрение покидает вас, но вы начинаете чувствовать эмоции и намерения людей вокруг.
47-48	Плиты пола под вашими ногами раскалываются. Из разлома поднимается облако оранжевой гнили, и ее глубины заполнены тьмой. Вдохнувшие его начинают в биться в припадках и приступах и разговаривать на незнакомых языках.
49-50	Из пор вашей кожи, подобно волосом, вырастают, подобно щетины, тысячи ножек насекомых. Вы ломаете их и изнутри течет кровь умерших младенцев. Пахнет как забвение.
51-52	Глаза-колодцы, наполненные смолой и дегтем, отрываются на вашей груди. Глядя на случайного компаньона, вы понимаете, он планирует предать вас. Как же раньше вы этого не видели?
